date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:49	8672/8672	---M--	200	added ('OK')	image/png	etag:%222c2a412cc3412944%22	https://i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-5.png?fit=180%2C180&ssl=1	C:/My%20Web%20Sites/report%20generator/i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-5f9b5.png	(from https://staticdevelopers.com/report-generator/)
11:21:52	171854/171854	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Feb%202026%2017:21:42%20GMT	https://staticdevelopers.com/report-generator/revslider/revslider.php	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/report-generator/revslider/revslider.b.delayed	(from https://staticdevelopers.com/report-generator/)
11:21:56	171849/171849	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Feb%202026%2017:21:46%20GMT	https://staticdevelopers.com/report-generator/${e?.bg?.image.src}	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/report-generator/${e.c1d2c.delayed	(from https://staticdevelopers.com/report-generator/)
11:22:11	87553/87553	---M--	200	added ('OK')	text/javascript	date:Tue,%2029%20Aug%202023%2003:44:24%20GMT	https://staticdevelopers.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://staticdevelopers.com/report-generator/)
11:22:14	13577/13577	---M--	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2016:19:24%20GMT	https://staticdevelopers.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://staticdevelopers.com/report-generator/)
11:22:16	209124/209124	---M--	200	added ('OK')	text/javascript	date:Fri,%2006%20Jun%202025%2021:55:49%20GMT	http://staticdevelopers.com/wp-content/plugins/revslider/public/js/libs/tptools.js?ver=6.7.34	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/plugins/revslider/public/js/libs/tptoolse00b.js	(from https://staticdevelopers.com/report-generator/)
11:22:20	3303/3303	---M--	200	added ('OK')	text/javascript	date:Mon,%2006%20May%202024%2021:55:43%20GMT	https://staticdevelopers.com/wp-content/plugins/creative-mail-by-constant-contact/assets/js/block/submit.js?ver=1715032543	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/plugins/creative-mail-by-constant-contact/assets/js/block/submit44bd.js	(from https://staticdevelopers.com/report-generator/)
11:22:26	3349/3349	---M--	200	added ('OK')	text/javascript	date:Fri,%2005%20Dec%202025%2010:03:24%20GMT	https://staticdevelopers.com/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/jquery.fitvids.js?ver=4.27.5	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/jquery.fitvids64f2.js	(from https://staticdevelopers.com/report-generator/)
11:22:29	338381/338381	---M--	200	added ('OK')	text/javascript	date:Fri,%2006%20Jun%202025%2021:55:49%20GMT	http://staticdevelopers.com/wp-content/plugins/revslider/public/js/sr7.js?ver=6.7.34	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/plugins/revslider/public/js/sr7e00b.js	(from https://staticdevelopers.com/report-generator/)
11:22:29	274461/274461	---M--	200	added ('OK')	text/javascript	date:Fri,%2005%20Dec%202025%2010:03:24%20GMT	https://staticdevelopers.com/wp-content/themes/Divi/js/scripts.min.js?ver=4.27.5	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/themes/Divi/js/scripts.min64f2.js	(from https://staticdevelopers.com/report-generator/)
11:22:29	586/586	---M--	200	added ('OK')	text/javascript	date:Fri,%2006%20Jun%202025%2021:55:50%20GMT	https://staticdevelopers.com/wp-content/plugins/revslider/admin/includes/shortcode_generator/divi/scripts/frontend-bundle.min.js?ver=1.0.0	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/plugins/revslider/admin/includes/shortcode_generator/divi/scripts/frontend-bundle.min8a54.js	(from https://staticdevelopers.com/report-generator/)
11:22:30	7577/7577	---M--	200	added ('OK')	text/javascript	date:Mon,%2001%20Dec%202025%2009:59:55%20GMT	https://staticdevelopers.com/wp-content/plugins/wp-statistics/assets/js/tracker.js?ver=14.16	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/plugins/wp-statistics/assets/js/trackerdd32.js	(from https://staticdevelopers.com/report-generator/)
11:22:30	1649565/1649565	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Dec%202023%2014:30:17%20GMT	https://staticdevelopers.com/wp-content/uploads/2023/12/Untitled-design-14.png	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/uploads/2023/12/Untitled-design-14.png	(from https://staticdevelopers.com/report-generator/)
11:22:30	1343/1343	---M--	200	added ('OK')	text/javascript	date:Fri,%2005%20Dec%202025%2010:03:24%20GMT	https://staticdevelopers.com/wp-content/themes/Divi/core/admin/js/common.js?ver=4.27.5	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/themes/Divi/core/admin/js/common64f2.js	(from https://staticdevelopers.com/report-generator/)
11:22:31	3812/3812	---MCZ	200	added ('OK')	application/javascript	etag:W/7134-1748959718389.9258	https://stats.wp.com/e-202605.js	C:/My%20Web%20Sites/report%20generator/stats.wp.com/e-202605.js	(from https://staticdevelopers.com/report-generator/)
